#F1FA89,
#E0F88C,
#D1F58E,
#C3F391,
#B7F093,
#ACEE96,
#89FACB,
#8CF8D9,
#8EF5E6,
#91F3F1,
#93E5F0,
#96D8EE,
#9389FA,
#A38CF8,
#B28EF5,
#C091F3,
#CD93F0,
#D896EE,
#FA89B8,
#F88CAA,
#F58E9E,
#F39192,
#F09D93,
#EEAA96,
